Table 8,,,,,,,,,,,
NEW HAMPSHIRE,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2017",,,,,,,,,,,
State,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Durham,"16,751",9,1,4,0,4,83,22,57,4,1
East Kingston,"2,396",1,0,0,0,1,8,2,4,2,0
Effingham,"1,439",3,0,0,0,3,14,4,9,1,0
Enfield,"4,527",3,0,1,1,1,23,2,20,1,0
Epping,"6,978",10,0,4,3,3,94,6,80,8,0
Epsom,"4,701",12,0,4,0,8,30,9,18,3,0
Exeter,"14,807",29,0,11,5,13,98,8,82,8,0
Farmington,"6,858",17,4,1,0,12,128,34,87,7,2
Fitzwilliam,"2,316",2,0,0,0,2,20,7,13,0,1
Franconia,"1,102",1,0,1,0,0,22,1,21,0,0
Franklin,"8,444",29,1,7,2,19,133,36,92,5,0
Freedom,"1,488",0,0,0,0,0,3,1,1,1,0
Fremont,"4,737",5,0,2,1,2,26,2,23,1,1
Gilford,"7,191",10,0,0,1,9,169,17,147,5,1
Gilmanton,"3,746",3,0,2,0,1,27,7,16,4,0
Goffstown,"18,057",34,1,7,3,23,180,21,146,13,0
Gorham,"2,592",4,0,0,0,4,51,6,44,1,0
Grantham,"2,967",0,0,0,0,0,8,1,7,0,0
Greenland,"3,966",0,0,0,0,0,19,3,16,0,0
Hampstead,"8,625",10,0,2,0,8,58,15,39,4,0
Hampton,"15,524",28,0,5,3,20,201,16,172,13,3
Hampton Falls,"2,302",8,0,7,0,1,19,4,15,0,1
Hancock,"1,628",0,0,0,0,0,11,5,6,0,0
Hanover,"11,443",9,0,8,0,1,118,9,108,1,3
Haverhill,"4,542",11,1,2,0,8,70,16,49,5,1
Henniker,"4,947",10,0,6,1,3,60,15,42,3,0
Hillsborough,"5,954",11,0,2,0,9,76,13,61,2,0
Hinsdale,"3,835",12,0,4,1,7,68,10,55,3,1
Holderness,"2,090",2,0,1,1,0,23,4,18,1,0
Hollis,"7,838",6,0,2,1,3,39,6,30,3,0
Hooksett,"14,274",19,0,3,3,13,200,14,177,9,1
Hopkinton,"5,629",1,0,0,0,1,27,2,23,2,0
Hudson,"25,212",26,0,8,1,17,250,28,209,13,2
Jackson,814,0,0,0,0,0,9,6,3,0,0
Jaffrey,"5,211",8,0,2,0,6,35,10,24,1,1
Keene,"23,386",55,0,10,19,26,680,83,577,20,3
Kensington,"2,126",4,0,1,0,3,4,3,1,0,0
Kingston,"6,185",3,0,2,0,1,18,5,6,7,0
Laconia,"16,616",77,0,11,12,54,568,63,484,21,2
Lancaster,"3,288",0,0,0,0,0,36,5,31,0,0
Lebanon,"13,577",40,1,5,7,27,334,17,303,14,0
Lee,"4,417",7,0,1,2,4,25,3,22,0,0
Lincoln,"1,761",4,0,3,0,1,57,5,46,6,0
Lisbon,"1,564",1,0,1,0,0,14,4,10,0,1
Litchfield,"8,508",2,0,1,0,1,28,5,21,2,0
Littleton,"5,871",17,0,6,1,10,120,10,106,4,1
Londonderry,"26,254",29,0,7,3,19,214,30,173,11,1
Loudon,"5,506",6,0,5,0,1,42,7,32,3,1
Lyndeborough,"1,707",2,0,1,0,1,11,1,9,1,0
Madbury,"1,828",1,0,0,0,1,7,1,6,0,0
Madison,"2,523",5,0,1,0,4,23,10,11,2,0
Manchester,"110,655",745,2,92,174,477,"2,905",491,"2,229",185,23
Marlborough,"2,040",3,0,2,0,1,10,3,7,0,0
Meredith,"6,404",9,0,5,1,3,79,5,68,6,0
Merrimack,"25,675",6,0,0,2,4,184,14,166,4,1
Middleton,"1,810",5,0,1,1,3,12,1,9,2,0
Milford,"15,330",15,0,5,0,10,103,11,87,5,3
Milton,"4,592",5,0,2,0,3,66,19,44,3,0
Mont Vernon,"2,519",1,0,1,0,0,9,5,4,0,0
Moultonborough,"4,038",2,0,1,1,0,41,3,30,8,0
Nashua,"88,102",150,1,53,30,66,"1,190",115,"1,003",72,7
New Boston,"5,618",3,0,1,0,2,20,3,15,2,0
Newbury,"2,198",1,0,0,0,1,16,2,13,1,0
New Durham,"2,671",2,0,1,0,1,18,3,15,0,0
Newfields,"1,713",3,0,2,0,1,10,0,9,1,0
New Hampton,"2,217",2,0,0,0,2,29,7,18,4,1
Newington,796,0,0,0,0,0,101,1,99,1,1
New Ipswich,"5,248",2,0,1,0,1,37,14,20,3,2
New London,"4,590",1,0,0,0,1,25,7,18,0,1
Newmarket,"9,003",12,0,6,0,6,49,4,44,1,1
Newport,"6,344",18,0,3,0,15,99,18,77,4,1
Newton,"4,963",4,0,2,0,2,20,3,16,1,1
Northfield,"4,814",8,0,2,1,5,49,1,38,10,1
North Hampton,"4,447",2,0,1,0,1,43,8,33,2,0
Northumberland,"2,122",3,0,2,0,1,22,3,19,0,1
Northwood,"4,281",7,0,4,0,3,44,7,34,3,0
Nottingham,"5,046",0,0,0,0,0,25,7,17,1,0
Ossipee,"4,246",10,0,4,1,5,72,15,50,7,0
Pelham,"13,513",12,0,1,1,10,86,14,67,5,2
Pembroke,"7,115",11,0,7,0,4,94,17,69,8,1
Peterborough,"6,568",11,0,3,1,7,58,12,43,3,0
Plaistow,"7,695",9,0,0,8,1,145,8,129,8,0
Plymouth,"6,303",21,0,6,1,14,216,10,197,9,2
Portsmouth,"21,607",44,0,14,6,24,300,26,257,17,3
Raymond,"10,347",12,0,3,0,9,104,12,83,9,1
Rindge,"5,883",6,0,2,0,4,60,13,45,2,0
Rochester,"30,441",145,0,37,25,83,"1,003",107,873,23,3
Rollinsford,"2,552",0,0,0,0,0,27,5,22,0,0
Rye,"5,425",4,0,2,0,2,45,0,44,1,1
Salem,"29,013",41,0,9,17,15,445,25,409,11,3
Sanbornton,"2,996",2,0,2,0,0,27,3,19,5,0
Sandown,"6,368",1,0,0,0,1,17,5,11,1,0
Sandwich,"1,304",0,0,0,0,0,22,5,17,0,0
Seabrook,"8,816",21,0,2,2,17,216,25,180,11,1
Somersworth,"11,795",40,0,10,11,19,346,37,292,17,1
South Hampton,820,1,0,0,0,1,4,1,3,0,0
Springfield,"1,319",0,0,0,0,0,6,2,2,2,0
Strafford,"4,121",1,0,0,0,1,10,3,7,0,0
Stratham,"7,452",3,0,1,0,2,40,7,33,0,1
Sugar Hill,571,0,0,0,0,0,0,0,0,0,0
Sunapee,"3,449",3,0,1,0,2,19,3,15,1,0
Thornton,"2,491",3,0,2,0,1,14,3,11,0,0
Tilton,"3,556",13,0,6,2,5,213,13,193,7,0
Troy,"2,054",3,0,1,0,2,13,6,7,0,0
Tuftonboro,"2,327",2,0,0,0,2,21,3,16,2,0
Wakefield,"5,613",6,0,1,0,5,57,18,35,4,1
Warner,"2,879",0,0,0,0,0,14,2,12,0,1
Washington,"1,108",0,0,0,0,0,12,5,6,1,0
Waterville Valley,245,2,0,2,0,0,9,1,8,0,0
Weare,"8,935",14,0,5,0,9,53,17,34,2,0
Webster,"1,906",0,0,0,0,0,9,4,5,0,0
Wilton,"3,687",7,0,3,0,4,35,11,22,2,0
Winchester,"4,146",3,0,0,0,3,55,9,44,2,0
Windham,"14,686",6,0,1,0,5,74,10,59,5,0
Wolfeboro,"6,189",12,0,7,0,5,70,15,52,3,1
Woodstock,"1,367",2,0,1,0,1,33,8,24,1,0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
