Table 8,,,,,,,,,,,
MASSACHUSETTS,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2017",,,,,,,,,,,
State,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Brimfield,"3,764",7,0,0,0,7,18,8,10,0,0
Brockton,"96,016",917,7,93,172,645,"1,961",327,"1,250",384,16
Brookline,"59,233",45,0,1,12,32,665,91,563,11,1
Burlington,"26,678",53,0,7,5,41,485,26,447,12,1
Cambridge,"111,707",313,2,17,101,193,"2,031",252,"1,685",94,3
Canton,"23,551",90,0,8,8,74,149,22,122,5,0
Carver,"11,671",25,0,5,1,19,114,26,86,2,1
Charlton,"13,523",19,0,4,2,13,89,10,71,8,1
Chatham,"6,158",5,0,2,0,3,90,8,81,1,0
Chelmsford,"35,392",45,0,3,5,37,490,48,419,23,1
Chelsea,"40,514",315,3,31,107,174,662,97,491,74,2
Chesterfield,"1,266",0,0,0,0,0,6,3,3,0,0
Chicopee,"56,255",289,3,35,60,191,"1,381",325,928,128,0
Chilmark,925,2,0,0,0,2,14,1,13,0,0
Clinton,"13,839",6,0,0,1,5,34,5,26,3,0
Cohasset,"8,598",6,0,3,0,3,75,20,55,0,0
Concord,"20,193",14,0,0,0,14,103,9,93,1,0
Dalton,"6,602",15,0,0,0,15,42,17,24,1,0
Danvers,"28,168",48,0,4,7,37,498,32,440,26,2
Dartmouth,"34,802",73,0,8,11,54,707,87,581,39,5
Dedham,"25,358",10,0,2,6,2,427,15,397,15,0
Deerfield,"4,971",11,0,0,0,11,52,11,41,0,0
Dennis,"13,976",58,0,7,2,49,291,86,191,14,0
Douglas,"8,795",14,0,0,0,14,42,12,29,1,0
Dover,"6,053",1,0,0,0,1,18,1,15,2,0
Dracut,"31,685",41,0,3,5,33,320,63,237,20,0
Dudley,"11,801",37,0,10,3,24,56,17,31,8,0
Dunstable,"3,389",2,0,0,1,1,20,5,13,2,0
Duxbury,"16,085",9,0,2,1,6,102,22,78,2,0
East Bridgewater,"14,573",17,0,2,0,15,133,16,112,5,1
East Brookfield,"2,180",4,0,2,0,2,14,5,9,0,0
Eastham,"4,899",11,0,1,1,9,51,4,46,1,0
Easthampton,"16,061",41,0,5,3,33,170,34,125,11,1
East Longmeadow,"16,288",24,0,4,3,17,279,51,214,14,2
Easton,"24,176",40,0,6,6,28,160,28,125,7,0
Edgartown,"4,323",16,0,2,0,14,71,11,57,3,0
Erving,"1,763",4,0,2,0,2,25,8,14,3,0
Everett,"47,185",157,2,18,29,108,662,114,477,71,2
Fairhaven,"16,188",40,1,8,1,30,338,44,276,18,0
Fall River,"89,012",880,3,53,187,637,"1,564",426,909,229,29
Falmouth,"31,487",123,0,14,3,106,468,190,246,32,4
Fitchburg,"40,445",299,0,45,47,207,741,169,516,56,7
Foxborough,"17,636",45,1,4,0,40,192,45,138,9,1
Framingham,"72,153",235,0,14,20,201,748,132,549,67,2
Franklin,"33,397",9,0,0,1,8,74,20,51,3,0
Freetown,"9,343",23,0,4,2,17,100,30,58,12,1
Gardner,"20,491",99,1,18,7,73,336,82,234,20,5
Georgetown,"8,715",4,0,1,0,3,51,7,42,2,0
Gloucester,"29,980",82,0,5,7,70,207,19,181,7,1
Goshen,"1,074",1,0,0,0,1,7,4,3,0,0
Grafton,"18,763",22,0,6,1,15,60,11,43,6,0
Granby,"6,379",10,0,1,0,9,34,9,22,3,0
Great Barrington,"6,815",24,0,3,2,19,64,10,49,5,1
Greenfield,"17,462",110,0,21,14,75,333,42,280,11,6
Groton,"11,411",6,4,1,0,1,34,6,28,0,1
Hadley,"5,382",17,0,2,2,13,134,11,117,6,2
Halifax,"7,963",6,0,0,0,6,73,13,58,2,0
Hamilton,"8,216",4,0,1,0,3,39,7,31,1,1
Hampden,"5,217",6,0,0,0,6,39,4,28,7,0
Hanover,"14,597",5,0,0,0,5,102,10,82,10,1
Hanson,"10,860",31,0,5,1,25,49,15,32,2,1
Hardwick,"4,031",24,0,3,0,21,35,9,25,1,0
Harvard,"6,572",1,0,0,0,1,27,11,16,0,0
Harwich,"12,150",23,0,1,0,22,151,58,88,5,0
Haverhill,"63,244",391,3,15,40,333,917,201,597,119,4
Hingham,"23,392",13,0,1,1,11,234,54,175,5,2
Holbrook,"11,064",39,0,3,9,27,129,13,108,8,1
Holden,"19,062",10,0,0,1,9,52,9,39,4,1
Holland,"2,502",1,0,0,0,1,20,7,12,1,0
Holliston,"14,736",8,0,1,2,5,30,2,28,0,0
Holyoke,"40,451",438,4,32,96,306,"1,946",297,"1,538",111,9
Hopedale,"5,959",7,0,1,0,6,26,5,19,2,1
Hopkinton,"17,348",0,0,0,0,0,59,2,57,0,0
Hudson,"19,963",7,0,2,1,4,150,21,127,2,1
Hull,"10,553",29,1,10,2,16,79,11,61,7,0
Ipswich,"13,951",9,0,1,0,8,80,15,62,3,1
Kingston,"13,615",27,0,2,3,22,162,28,129,5,1
Lakeville,"11,502",18,0,5,3,10,102,27,69,6,1
Lancaster,"8,212",10,0,2,1,7,56,13,40,3,0
Lawrence,"80,890",585,11,30,151,393,"1,391",224,759,408,
Lee,"5,749",8,0,1,0,7,105,16,85,4,0
Leicester,"11,369",27,0,2,2,23,170,13,152,5,0
Lenox,"4,947",11,0,3,1,7,83,16,64,3,0
Leominster,"41,846",234,2,18,20,194,940,121,770,49,7
Leverett,"1,835",0,0,0,0,0,7,3,4,0,0
Lincoln,"6,860",2,0,0,0,2,40,5,35,0,0
Littleton,"10,196",11,0,2,0,9,75,21,50,4,0
Longmeadow,"15,848",6,0,2,2,2,147,33,109,5,0
Lowell,"111,294",322,1,13,144,164,"2,198",474,"1,370",354,10
Ludlow,"21,529",52,0,2,4,46,213,44,145,24,1
Lunenburg,"11,477",25,0,5,0,20,158,35,115,8,1
Lynn,"93,140",666,12,28,164,462,"1,631",299,"1,101",231,8
Lynnfield,"13,042",7,0,0,2,5,104,5,93,6,0
Malden,"61,098",207,1,7,35,164,780,119,588,73,0
Manchester-by-the-Sea,"5,435",2,0,1,0,1,14,0,14,0,0
Mansfield,"23,847",39,0,7,3,29,249,31,209,9,0
Marblehead,"20,618",36,0,4,0,32,155,25,128,2,0
Marion,"5,124",8,0,0,0,8,54,15,35,4,0
Marlborough,"39,919",152,0,15,8,129,610,67,514,29,4
Marshfield,"25,929",31,0,5,2,24,85,15,67,3,2
Mashpee,"14,272",40,1,3,2,34,185,18,157,10,0
Mattapoisett,"6,354",11,0,2,0,9,46,13,31,2,0
Maynard,"10,756",21,0,3,0,18,54,8,43,3,0
Medford,"57,418",88,0,5,14,69,663,115,485,63,1
Medway,"13,407",6,0,2,0,4,53,12,38,3,0
Melrose,"28,101",23,0,1,3,19,216,23,174,19,3
Mendon,"6,069",9,0,1,0,8,43,11,27,5,0
Merrimac,"6,948",2,0,2,0,0,26,8,16,2,0
Methuen,"50,396",94,0,0,26,68,670,78,530,62,0
Middleboro,"25,084",88,0,16,3,69,243,36,183,24,2
Middleton,"9,788",15,1,0,0,14,67,4,56,7,0
Milford,"28,772",58,2,13,2,41,308,38,251,19,1
Millbury,"13,626",21,0,4,1,16,166,19,137,10,2
Millville,"3,254",1,0,1,0,0,14,2,11,1,0
Milton,"27,420",15,0,1,7,7,215,58,146,11,0
Monson,"8,842",31,0,3,2,26,72,27,41,4,1
Montague,"8,211",64,0,8,0,56,126,51,71,4,0
Nahant,"3,500",12,0,1,1,10,27,5,20,2,1
Nantucket,"11,165",47,0,7,0,40,264,34,213,17,5
Natick,"36,705",39,0,4,2,33,455,46,396,13,1
Needham,"31,054",9,1,2,0,6,194,6,187,1,1
New Bedford,"95,107",633,8,37,241,347,"2,717",570,"1,971",176,35
Newbury,"7,071",9,0,3,0,6,40,12,26,2,0
Newburyport,"18,092",26,0,4,2,20,219,25,184,10,0
Newton,"89,736",49,0,5,5,39,576,87,471,18,2
Norfolk,"11,815",1,0,1,0,0,35,7,27,1,1
North Adams,"12,948",193,0,15,11,167,399,115,280,4,2
Northampton,"28,458",165,0,29,21,115,555,75,466,14,3
North Andover,"31,035",27,0,3,2,22,164,19,136,9,0
North Attleboro,"29,158",27,0,3,0,24,475,50,411,14,0
Northborough,"15,109",3,0,3,0,0,155,4,148,3,1
Northbridge,"16,711",39,0,9,1,29,202,28,161,13,0
Northfield,"2,966",6,0,0,0,6,27,8,19,0,1
North Reading,"15,780",24,0,6,5,13,65,6,52,7,0
Norton,"19,654",1,0,0,0,1,18,12,5,1,0
Norwell,"11,150",3,0,1,0,2,43,6,35,2,0
Norwood,"29,194",42,0,4,2,36,293,25,245,23,0
Oakham,"1,941",2,0,0,0,2,3,1,2,0,0
Orange,"7,569",23,0,1,0,22,104,38,62,4,1
Orleans,"5,837",8,0,3,1,4,69,21,48,0,0
Oxford,"13,955",21,0,1,2,18,143,24,115,4,1
Palmer,"12,136",50,0,7,3,40,129,34,86,9,0
Paxton,"4,891",2,0,0,0,2,17,5,12,0,0
Peabody,"52,721",153,2,12,17,122,624,83,496,45,0
Pembroke,"18,454",12,0,2,0,10,105,9,91,5,1
Pepperell,"12,267",15,0,2,1,12,79,20,52,7,1
Pittsfield,"42,546",375,4,50,43,278,"1,092",399,656,37,5
Plainville,"9,334",12,0,1,1,10,126,16,105,5,0
Plymouth,"59,803",151,1,21,10,119,591,81,486,24,0
Plympton,"2,976",4,0,1,0,3,16,6,9,1,0
Princeton,"3,472",1,0,0,0,1,17,4,12,1,0
Provincetown,"2,993",23,0,3,0,20,127,12,111,4,0
Quincy,"93,966",383,0,24,65,294,"1,564",322,"1,154",88,6
Randolph,"33,837",121,1,10,20,90,483,93,351,39,0
Raynham,"14,048",34,0,6,4,24,231,43,177,11,0
Reading,"26,033",8,0,2,2,4,157,25,129,3,0
Rehoboth,"12,153",10,0,1,0,9,63,15,41,7,1
Revere,"53,425",248,2,16,42,188,"1,010",134,770,106,1
Rochester,"5,593",9,0,0,0,9,40,13,25,2,0
Rockport,"7,255",7,0,3,0,4,12,0,12,0,1
Rowley,"6,378",7,0,2,1,4,39,4,31,4,0
Rutland,"8,687",18,0,3,0,15,70,19,47,4,1
Salem,"43,385",116,0,19,28,69,951,113,787,51,3
Salisbury,"9,517",33,0,2,2,29,121,18,84,19,1
Sandwich,"20,362",34,0,5,0,29,155,30,117,8,0
Saugus,"28,241",73,0,4,11,58,478,41,402,35,0
Seekonk,"15,521",24,0,2,6,16,264,22,225,17,0
Sharon,"18,419",15,0,3,4,8,45,4,39,2,0
Shelburne,"1,829",0,0,0,0,0,16,5,9,2,0
Sherborn,"4,318",6,0,1,0,5,7,0,7,0,0
Shirley,"7,499",16,1,3,1,11,41,4,35,2,1
Shrewsbury,"36,974",3,0,0,0,3,128,21,100,7,0
Somerset,"18,239",35,0,15,2,18,169,18,138,13,1
Somerville,"82,326",191,1,16,41,133,"1,071",174,808,89,5
Southampton,"6,263",11,0,3,0,8,41,13,25,3,1
Southborough,"10,148",7,0,2,1,4,60,16,44,0,0
Southbridge,"16,860",88,0,11,3,74,283,55,213,15,2
South Hadley,"17,804",27,0,2,4,21,251,95,148,8,1
Southwick,"9,778",11,0,3,0,8,75,23,51,1,0
Spencer,"11,920",19,0,4,0,15,73,14,52,7,1
Springfield,"154,562","1,351",14,73,380,884,"4,594","1,183","2,902",509,37
Sterling,"8,102",9,0,2,0,7,79,12,60,7,2
Stockbridge,"1,919",5,0,3,0,2,38,12,25,1,0
Stoneham,"22,077",27,0,1,1,25,199,72,118,9,0
Stoughton,"28,678",104,0,8,9,87,389,29,333,27,4
Stow,"7,196",5,0,0,0,5,31,7,19,5,0
Sturbridge,"9,605",21,0,2,2,17,129,19,99,11,1
Sudbury,"19,120",11,0,1,0,10,72,14,57,1,0
Sunderland,"3,627",6,0,2,2,2,27,10,15,2,0
Sutton,"9,401",9,0,1,0,8,84,29,48,7,1
Swampscott,"15,016",14,0,2,1,11,181,17,159,5,0
Swansea,"16,597",22,0,1,6,15,259,34,210,15,2
Taunton,"57,047",220,0,15,28,177,492,133,299,60,3
Templeton,"8,184",9,0,0,0,9,53,16,33,4,0
Tewksbury,"31,245",85,0,23,10,52,331,52,258,21,2
Tisbury,"4,114",26,0,0,0,26,75,14,56,5,0
Topsfield,"6,604",7,0,0,0,7,24,6,18,0,0
Townsend,"9,626",8,0,3,0,5,52,27,24,1,1
Truro,"2,018",14,0,2,0,12,23,7,13,3,0
Tyngsboro,"12,490",8,0,0,0,8,95,19,70,6,1
Upton,"7,816",14,0,2,1,11,33,7,24,2,1
Wakefield,"27,049",46,0,5,3,38,195,36,150,9,0
Wales,"1,900",1,0,1,0,0,5,3,2,0,0
Walpole,"25,312",59,0,10,2,47,249,29,209,11,0
Waltham,"63,413",98,1,16,14,67,609,118,447,44,2
Ware,"9,907",45,0,0,5,40,193,21,164,8,2
Wareham,"22,743",129,0,9,6,114,425,75,326,24,2
Watertown,"35,586",32,0,5,5,22,341,37,289,15,0
Wayland,"13,976",2,0,0,0,2,9,5,1,3,0
Webster,"16,883",123,0,6,11,106,252,51,186,15,4
Wellesley,"29,434",12,0,1,3,8,131,15,111,5,0
Wellfleet,"2,757",3,0,0,1,2,41,17,22,2,2
Wenham,"5,242",2,0,0,1,1,8,0,8,0,0
Westborough,"19,074",10,0,1,1,8,151,17,126,8,0
West Boylston,"7,856",9,0,1,1,7,56,5,46,5,0
West Bridgewater,"7,189",18,1,1,1,15,92,12,75,5,0
Westfield,"41,735",105,0,21,14,70,559,96,432,31,3
Westford,"24,639",9,0,1,2,6,76,14,57,5,1
Westminster,"7,699",20,0,1,1,18,64,7,57,0,0
West Newbury,"4,671",9,0,1,0,8,19,3,15,1,0
Weston,"12,249",5,0,3,0,2,37,8,27,2,0
Westport,"15,919",23,0,7,3,13,147,37,100,10,2
West Springfield,"28,635",174,1,23,21,129,"1,105",121,917,67,5
West Tisbury,"2,920",9,0,2,0,7,26,5,19,2,0
Westwood,"16,347",19,0,6,1,12,165,10,153,2,0
Weymouth,"56,382",147,1,15,17,114,577,66,478,33,2
Whately,"1,531",1,0,0,0,1,17,9,7,1,0
Whitman,"15,000",25,0,3,0,22,96,15,76,5,1
Wilbraham,"14,749",13,0,4,2,7,179,42,126,11,1
Williamstown,"7,756",10,0,4,0,6,138,6,131,1,1
Wilmington,"23,791",30,0,4,6,20,175,26,141,8,0
Winchendon,"10,812",33,0,7,2,24,170,16,145,9,2
Winchester,"23,059",9,0,1,1,7,119,18,99,2,1
Winthrop,"18,319",36,0,1,4,31,111,25,78,8,0
Woburn,"39,677",63,0,3,5,55,433,39,355,39,0
Worcester,"185,107","1,345",5,42,324,974,"4,047",866,"2,784",397,7
Wrentham,"11,838",8,0,0,0,8,198,14,175,9,0
Yarmouth,"23,370",159,1,14,11,133,372,76,287,9,3
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,
